resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3,latitude,longitude
10,Calgary CMA,AB,T1Y,94,125,14.0,51.0823,-113.9578
11,Calgary CMA,AB,T1Y,92,123,14.0,51.0823,-113.9578
12,Calgary CMA,AB,T1Y,94,114,14.0,51.0823,-113.9578
13,Calgary CMA,AB,T1Y,91,91,14.0,51.0823,-113.9578
14,Calgary CMA,AB,T2A,90,123,20.0,51.0494,-113.9564
15,Calgary CMA,AB,T2A,102,31,14.0,51.0494,-113.9564
16,Calgary CMA,AB,T2A,94,158,18.0,51.0494,-113.9564
17,Calgary CMA,AB,T2B,106,151,14.0,51.0209,-113.981
18,Calgary CMA,AB,T2B,94,43,14.0,51.0209,-113.981
19,Calgary CMA,AB,T2B,91,82,14.0,51.0209,-113.981
20,Calgary CMA,AB,T2B,114,153,14.0,51.0209,-113.981
21,Calgary CMA,AB,T2B,91,87,14.0,51.0209,-113.981
22,Calgary CMA,AB,T2B,91,116,19.0,51.0209,-113.981
23,Calgary CMA,AB,T2C,109,87,14.0,50.987,-113.9634
24,Calgary CMA,AB,T2C,90,67,14.0,50.987,-113.9634
25,Calgary CMA,AB,T2C,105,119,14.0,50.987,-113.9634
26,Calgary CMA,AB,T2E,94,100,14.0,51.0876,-114.0214
27,Calgary CMA,AB,T2E,95,108,14.0,51.0876,-114.0214
28,Calgary CMA,AB,T2E,106,107,14.0,51.0876,-114.0214
29,Calgary CMA,AB,T2E,91,116,19.0,51.0876,-114.0214
30,Calgary CMA,AB,T2H,91,101,14.0,50.9894,-114.052
31,Calgary CMA,AB,T2H,97,137,14.0,50.9894,-114.052
32,Calgary CMA,AB,T2H,91,206,14.0,50.9894,-114.052
33,Calgary CMA,AB,T2J,91,40,14.0,50.8476,-114.1958
34,Calgary CMA,AB,T2J,92,245,14.0,50.8476,-114.1958
35,Calgary CMA,AB,T2K,91,89,14.0,51.1111,-114.0477
36,Calgary CMA,AB,T2K,92,129,14.0,51.1111,-114.0477
37,Calgary CMA,AB,T2L,97,98,14.0,51.1047,-114.1148
38,Calgary CMA,AB,T2L,90,53,14.0,51.1047,-114.1148
39,Calgary CMA,AB,T2L,91,161,14.0,51.1047,-114.1148
40,Calgary CMA,AB,T2T,95,56,14.0,51.0242,-114.1004
41,Calgary CMA,AB,T2T,100,61,14.0,51.0242,-114.1004
42,Calgary CMA,AB,T2T,149,78,14.0,51.0242,-114.1004
43,Calgary CMA,AB,T2V,91,97,14.0,50.9819,-114.1004
44,Calgary CMA,AB,T2V,89,200,14.0,50.9819,-114.1004
45,Calgary CMA,AB,T2W,91,322,14.0,50.9514,-114.3591
46,Calgary CMA,AB,T2W,91,344,14.0,50.9514,-114.3591
47,Calgary CMA,AB,T2W,100,168,14.0,50.9514,-114.3591
