,basement_b'N',basement_b'Y',state_b'AZ',state_b'IN',state_b'MA',state_b'MN',state_b'MO',state_b'ND',state_b'PA',state_b'R5',activity,Uppm,floor,lat,lon,zip
0,1,0,0,1,0,0,0,0,0,0,59.20000088214874,2.49759,1,41.091,-85.067,46835
1,1,0,1,0,0,0,0,0,0,0,18.5,2.66527,1,34.6,-112.554,86325
2,0,1,0,0,1,0,0,0,0,0,111.0,2.43343,0,42.485,-71.392,1778
3,1,0,0,0,1,0,0,0,0,0,22.200000882148743,2.43343,1,42.485,-71.392,1432
4,0,1,0,0,0,0,1,0,0,0,44.400001764297485,2.10811,0,39.008,-94.347,64134
5,0,1,0,0,0,0,0,0,1,0,103.59999823570251,2.61898,0,40.912,-79.913,16059
6,1,0,0,1,0,0,0,0,0,0,55.5,2.14045,3,38.685,-85.748,47170
7,0,1,0,1,0,0,0,0,0,0,96.19999647140503,1.69837,0,41.509,-87.073,46304
8,0,1,0,0,0,1,0,0,0,0,222.0,1.31208,0,44.035,-94.067,56001
9,0,1,0,0,0,0,0,1,0,0,103.59999823570251,1.54905,0,46.977,-100.469,58501
10,0,1,0,0,0,0,0,0,1,0,166.5,2.1283,0,42.12,-80.098,16412
11,0,1,0,0,1,0,0,0,0,0,92.5,2.43343,0,42.485,-71.392,1890
12,1,0,0,0,0,0,1,0,0,0,399.60000705718994,1.66392,1,38.424,-92.886,65078
13,0,1,0,0,0,0,0,1,0,0,14.800000220537186,1.25606,0,46.11,-98.504,58174
14,1,0,0,1,0,0,0,0,0,0,218.30000352859497,2.13598,1,39.161,-86.523,47429
15,1,0,0,0,0,0,0,0,0,1,48.099998235702515,0.421763,1,46.335,-84.536,49783
16,1,0,1,0,0,0,0,0,0,0,0.0,3.11518,1,33.349,-112.491,85304
17,0,1,0,0,1,0,0,0,0,0,11.100000441074371,0.0,0,41.777,-70.257,2646
18,0,1,0,0,0,0,0,0,1,0,7.400000110268593,3.28,0,40.007,-75.135,19145
19,1,0,0,0,0,0,0,1,0,0,107.30000352859497,1.14684,1,48.235,-100.636,58731
20,0,1,0,1,0,0,0,0,0,0,33.29999911785126,2.49759,0,41.091,-85.067,46818
21,0,1,0,0,1,0,0,0,0,0,118.40000176429749,2.43343,0,42.485,-71.392,2155
22,1,0,1,0,0,0,0,0,0,0,81.40000176429749,3.11518,1,33.349,-112.491,85204
23,0,1,0,0,0,0,0,1,0,0,66.59999823570251,1.54905,0,46.977,-100.469,58501
24,0,1,0,0,0,0,0,1,0,0,99.90000176429749,1.62023,0,47.922,-97.457,58201
25,1,0,0,1,0,0,0,0,0,0,11.100000441074371,2.20395,1,39.864,-85.01,47374
26,0,1,0,0,0,1,0,0,0,0,103.59999823570251,0.862876,0,45.038,-92.884,55016
27,0,1,0,0,0,0,1,0,0,0,444.0,1.72085,0,38.411,-91.075,63079
28,0,1,0,0,0,0,0,0,1,0,59.20000088214874,2.56866,0,40.468,-79.982,15204
29,0,1,0,0,0,1,0,0,0,0,451.39999294281006,0.622088,0,47.588,-92.462,55792
30,1,0,0,0,0,0,0,0,1,0,236.80000352859497,2.95083,0,40.337,-75.107,18966
31,0,1,0,0,0,0,1,0,0,0,51.79999911785126,1.66622,0,38.636,-90.245,63128
32,0,1,0,0,1,0,0,0,0,0,29.60000044107437,1.42956,0,41.987,-70.736,2324
33,0,1,0,0,0,0,0,0,0,1,40.70000088214874,0.421763,0,46.335,-84.536,49783
34,1,0,0,0,0,0,1,0,0,0,125.80000352859497,1.72085,1,38.411,-91.075,63090
35,0,1,0,0,0,0,0,0,1,0,81.40000176429749,2.67972,0,40.042,-76.248,17552
36,0,1,0,0,0,1,0,0,0,0,48.099998235702515,0.622088,0,47.588,-92.462,55807
37,1,0,1,0,0,0,0,0,0,0,96.19999647140503,3.11518,1,33.349,-112.491,85029
38,0,1,0,0,0,0,0,0,1,0,584.6000070571899,2.49651,0,39.92,-76.727,17403
39,1,0,0,0,0,0,0,0,0,1,122.09999823570251,0.810536,1,45.938,-93.63,56359
40,1,0,1,0,0,0,0,0,0,0,66.59999823570251,3.39032,1,32.769,-113.904,85364
41,0,1,0,0,0,0,1,0,0,0,740.0,1.84293,1,37.258,-93.342,65803
42,1,0,1,0,0,0,0,0,0,0,51.79999911785126,3.11518,1,33.349,-112.491,85302
43,1,0,0,0,0,0,1,0,0,0,3.7000000551342964,1.63466,1,37.825,-92.207,65459
44,0,1,0,0,0,0,0,1,0,0,44.400001764297485,1.25606,1,46.11,-98.504,58436
45,0,1,0,0,0,0,0,0,0,1,48.099998235702515,0.622088,0,47.588,-92.462,55772
46,1,0,1,0,0,0,0,0,0,0,7.400000110268593,3.11518,1,33.349,-112.491,85016
47,0,1,0,0,0,0,1,0,0,0,188.69999647140503,2.10811,0,39.008,-94.347,64127
48,0,1,0,0,0,0,0,0,1,0,22.200000882148743,2.49651,0,39.92,-76.727,17339
49,0,1,0,0,0,0,0,0,1,0,66.59999823570251,2.99494,1,41.049,-76.405,17815
50,0,1,0,0,0,0,1,0,0,0,103.59999823570251,1.57138,0,38.027,-92.766,65324
51,0,1,0,0,0,0,0,1,0,0,29.60000044107437,1.54905,0,46.977,-100.469,58501
52,0,1,0,0,0,0,1,0,0,0,114.69999647140503,2.12421,0,39.381,-94.773,64098
53,0,1,0,0,0,1,0,0,0,0,33.29999911785126,0.530789,0,46.483,-94.07,56431
54,0,1,0,1,0,0,0,0,0,0,81.40000176429749,1.30385,0,41.549,-86.742,46350
55,0,1,0,0,0,0,0,1,0,0,103.59999823570251,1.34533,0,47.922,-98.192,58259
56,0,1,0,0,0,0,1,0,0,0,92.5,1.96648,1,38.647,-94.355,64080
57,0,1,0,0,0,0,0,0,1,0,74.0,2.37618,0,40.311,-79.468,15644
58,0,1,0,0,0,0,0,0,1,0,307.10000705718994,1.90071,0,39.972,-79.028,15552
59,0,1,0,0,0,0,1,0,0,0,717.7999858856201,2.10811,0,39.008,-94.347,64064
60,0,1,0,0,0,1,0,0,0,0,107.30000352859497,1.41027,0,46.892,-96.49,56549
61,0,1,0,1,0,0,0,0,0,0,333.0,2.49759,0,41.091,-85.067,46815
62,1,0,1,0,0,0,0,0,0,0,514.2999858856201,2.99849,1,32.904,-111.344,85228
63,1,0,0,0,0,0,1,0,0,0,25.89999955892563,2.13755,1,38.385,-93.792,64770
64,0,1,0,0,0,0,0,1,0,0,1269.0999717712402,1.77863,0,46.717,-101.283,58554
65,0,1,0,0,1,0,0,0,0,0,151.69999647140503,2.5116,0,42.351,-71.908,1520
66,1,0,0,0,0,0,0,0,1,0,55.5,2.49651,0,39.92,-76.727,17327
67,0,1,0,1,0,0,0,0,0,0,984.2000141143799,1.16627,0,41.643,-85.427,46761
68,0,1,0,0,0,0,0,0,1,0,48.099998235702515,1.71837,0,40.531,-77.402,17059
69,0,1,0,0,0,1,0,0,0,0,7.400000110268593,0.910987,0,46.013,-94.268,56466
70,1,0,1,0,0,0,0,0,0,0,22.200000882148743,3.11518,1,33.349,-112.491,85201
