ResultNumber,ProvinceTerritory,Health Region2007,HealthRegionCode2007,ForwardSortationAreaCodes,TestDurationInDays,AverageRadonConcentrationInBqPerM3,,,,,,
1,NL,Eastern Regional Integrated Health Authority,1011,A0A,127,20,,,,,,
2,NL,Eastern Regional Integrated Health Authority,1011,A0A,108,36,,,,,,
3,NL,Eastern Regional Integrated Health Authority,1011,A0E,91,14,,,,,,
4,NL,Eastern Regional Integrated Health Authority,1011,A0A,91,31,,,,,,
5,NL,Eastern Regional Integrated Health Authority,1011,A0C,98,26,,,,,,
6,NL,Eastern Regional Integrated Health Authority,1011,A0E,115,14,,,,,,
7,NL,Eastern Regional Integrated Health Authority,1011,A0E,91,33,,,,,,
8,NL,Eastern Regional Integrated Health Authority,1011,A1Y,91,24,,,,,,
9,NL,Eastern Regional Integrated Health Authority,1011,A1Y,93,30,,,,,,
10,NL,Eastern Regional Integrated Health Authority,1011,A1Y,81,118,,,,,,
11,NL,Eastern Regional Integrated Health Authority,1011,A1Y,179,323,,,,,,
12,NL,Eastern Regional Integrated Health Authority,1011,A0B,111,122,,,,,,
13,NL,Eastern Regional Integrated Health Authority,1011,A5A,95,14,,,,,,
14,NL,Eastern Regional Integrated Health Authority,1011,A5A,104,14,,,,,,
15,NL,Eastern Regional Integrated Health Authority,1011,A5A,99,23,,,,,,
16,NL,Eastern Regional Integrated Health Authority,1011,A5A,98,25,,,,,,
17,NL,Eastern Regional Integrated Health Authority,1011,A5A,99,112,,,,,,
18,NL,Eastern Regional Integrated Health Authority,1011,A5A,93,128,,,,,,
19,NL,Eastern Regional Integrated Health Authority,1011,A0A,94,14,,,,,,
20,NL,Eastern Regional Integrated Health Authority,1011,A0A,92,14,,,,,,
21,NL,Eastern Regional Integrated Health Authority,1011,A0A,91,15,,,,,,
22,NL,Eastern Regional Integrated Health Authority,1011,A1W,107,14,,,,,,
23,NL,Eastern Regional Integrated Health Authority,1011,A1W,67,32,,,,,,
24,NL,Eastern Regional Integrated Health Authority,1011,A1W,101,78,,,,,,
25,NL,Eastern Regional Integrated Health Authority,1011,A1X,91,29,,,,,,
26,NL,Eastern Regional Integrated Health Authority,1011,A1X,77,30,,,,,,
27,NL,Eastern Regional Integrated Health Authority,1011,A1X,110,447,,,,,,
28,NL,Eastern Regional Integrated Health Authority,1011,A0E,92,28,,,,,,
29,NL,Eastern Regional Integrated Health Authority,1011,A0B,98,17,,,,,,
30,NL,Eastern Regional Integrated Health Authority,1011,A0A,93,444,,,,,,
31,NL,Eastern Regional Integrated Health Authority,1011,A0E,89,36,,,,,,
32,NL,Eastern Regional Integrated Health Authority,1011,A0E,90,25,,,,,,
33,NL,Eastern Regional Integrated Health Authority,1011,A0E,90,14,,,,,,
34,NL,Eastern Regional Integrated Health Authority,1011,A1S,90,42,,,,,,
35,NL,Eastern Regional Integrated Health Authority,1011,A1S,106,156,,,,,,
36,NL,Eastern Regional Integrated Health Authority,1011,A0E,91,14,,,,,,
37,NL,Eastern Regional Integrated Health Authority,1011,A0E,90,14,,,,,,
38,NL,Eastern Regional Integrated Health Authority,1011,A0A,167,93,,,,,,
39,NL,Eastern Regional Integrated Health Authority,1011,A0A,91,18,,,,,,
40,NL,Eastern Regional Integrated Health Authority,1011,A0E,112,30,,,,,,
41,NL,Eastern Regional Integrated Health Authority,1011,A0C,97,140,,,,,,
42,NL,Eastern Regional Integrated Health Authority,1011,A0E,92,14,,,,,,
43,NL,Eastern Regional Integrated Health Authority,1011,A0E,91,31,,,,,,
44,NL,Eastern Regional Integrated Health Authority,1011,A1N,96,14,,,,,,
45,NL,Eastern Regional Integrated Health Authority,1011,A1N,95,28,,,,,,
46,NL,Eastern Regional Integrated Health Authority,1011,A1N,91,85,,,,,,
47,NL,Eastern Regional Integrated Health Authority,1011,A1N,91,87,,,,,,
48,NL,Eastern Regional Integrated Health Authority,1011,A1N,109,88,,,,,,
49,NL,Eastern Regional Integrated Health Authority,1011,A1N,92,90,,,,,,
50,NL,Eastern Regional Integrated Health Authority,1011,A1N,99,96,,,,,,
51,NL,Eastern Regional Integrated Health Authority,1011,A1N,97,109,,,,,,
